VariableName,Electricity:Facility,Gas:Facility
KeyValue,,
158,1143878868.052222,895661894.5931844
159,1136918047.6406772,893623619.6156904
160,1477436793.2196963,1232770987.409465
161,1433371995.5083215,1754989074.1021914
162,1252548175.042308,7893096.231152465
163,1164548349.5630748,15715147.72679676
164,1164548356.8142962,15715226.078855041
165,1076552153.7919922,15728848.428783141
166,988545078.2628509,7885546.212498473
167,900545257.624633,15700083.210608698
168,856543533.2414037,7883009.131085749
169,856543532.6964517,7882156.56154136
170,862176900.1564783,27962290.695955306
171,863591206.3972503,37802935.81181113
172,906191777.8431641,39933500.62246657
173,995615185.8354608,61083967.21903616
174,1170209502.8062701,55195972.390360005
175,1136583130.09438,56598817.628805235
176,1073639275.2863574,34686753.57881107
177,943040402.772979,34287476.939621486
178,765634360.2698495,30541070.7027064
179,767043593.4132684,34025786.86103218
180,837127650.2433152,37638083.55885226
181,825721470.794739,38062648.195267804
182,804815279.4323437,22455789.581417453
183,767030182.1874988,26488003.93852923
184,1033904788.2017455,30707080.534710784
185,1259595313.4324598,45732447.0434526
186,1258195207.4579442,54944317.61575695
187,1171610975.2192252,59209707.70681012
188,1170218073.3681302,66532794.47301991
189,1083656910.2594097,93102026.19052547
190,994284064.6509216,119905113.52457637
191,907726965.7041268,150302442.65384164
192,1041783262.8476145,175241230.38288334
193,1176009852.343027,301958342.4545801
194,1245844294.2398913,438672622.73368055
195,1187540095.602546,571523965.4903253
196,1142326001.6364694,602699647.9306368
197,1335590643.9937997,711779895.6601675
198,1553597951.1273572,5415925807.561754
199,1874264935.8735216,5963277917.680663
200,3781319292.8452992,4064658784.6451826
201,3648218399.1398635,3621754519.103008
202,3471685727.635046,3352250367.231328
203,3471312538.7967596,3122373667.641759
204,3291886087.839021,3142061526.51272
205,3470914943.221512,2920133997.719453
206,3470608622.436264,2749046900.6083627
207,3470610618.213936,2756911160.2251287
208,3739172018.998554,2973153935.78745
209,3425568917.737661,3219240789.7041945
210,2708463183.191821,3532512075.8814673
211,2620584033.777517,3565397882.6736393
212,2082750344.6361718,3797402325.6028705
213,1995114947.450716,3970236512.9434247
214,1257685018.2824185,15699140.8966327
215,1084210624.9821484,28759847.881528232
216,1041656112.9666119,56755812.89274681
217,1043094162.8688133,81119114.71483406
218,1041755332.6782539,128709216.5694978
219,1043198854.5307858,143105450.57106262
220,1128039202.0184503,309931396.6612174
221,1335389571.9326026,538456377.4987016
222,1550677505.3939524,4838987428.42891
223,1873524755.9249046,5857757392.888734
224,3781250546.9820657,3963142259.6573424
225,3648058449.015191,3383160016.3279204
226,3471652239.4557056,3185736765.426745
227,3474431616.2048273,2865755263.5661707
228,3297748054.91993,2703829432.8120914
229,3478177034.6523094,2300562838.671948
230,3474592785.3451834,1918915379.6555424
231,3469646025.1137047,1882673187.7147553
232,3737495600.8768816,2054479173.8975296
233,3423946009.208077,2339921296.6110754
234,2706936182.5329123,2756207710.3089
235,2619288901.30428,2952949630.43231
236,2081711477.6835473,3325581246.9426403
237,1994037609.5945425,3458559448.5078664
238,1257685015.9144459,7886753.542846663
239,1079971889.7832985,7886424.9736181395
240,1040207765.6307195,35474007.17212769
241,1043052205.0102873,54821931.09079419
242,1041649676.4502921,55114106.35283523
243,1043111063.1427097,103379079.84316099
244,1085693068.2259192,84762029.6826852
245,1264906942.4998348,152376993.28112966
246,1546863809.8815603,3663893898.247681
247,1870367417.7490547,4679626804.662972
248,3779769963.004661,3438030712.5408287
249,3646586870.9563894,2873190758.2772465
250,3469649596.750118,2341479782.3295436
251,3469069735.421501,1991314331.1866467
252,3289637050.886633,1986464430.3151376
253,3470686059.547824,1649845024.0501974
254,3470703303.892941,1354948368.5131657
255,3468259019.213474,1316619358.437293
256,3736551494.3275156,1513496370.8653064
257,3422853708.261038,1720566794.5894873
258,2705555270.8429728,2013266475.5800486
259,2617678592.410557,2091763232.3012557
260,2079785729.0900226,2337881983.179689
261,1991925171.8270528,2403485996.6528935
262,1257685017.873888,7886540.943486274
263,1079971890.757677,7886916.377222759
264,1035971987.378154,15700339.084130757
265,1035971982.3271338,7886755.4040634325
266,1043020389.4291937,37535343.90886252
267,1041617702.0829183,37201410.01453375
268,1087043530.6248605,63935764.4710839
269,1263354619.647827,60172319.96209825
270,1544756759.1417916,3105979649.9628015
271,1867192907.745371,3211949853.954687
272,3777425394.7989483,2227665589.122741
273,3645205816.5673914,2160722651.8764334
274,3469042601.09033,2059340735.793976
275,3468910719.301015,1975472071.9860961
276,3289671202.102349,2120812004.247961
277,3468848568.573641,1937908389.6350534
278,3468871359.109899,1942188631.672607
279,3468903140.160523,1951142329.2531557
280,3737179557.0160403,1969092199.0310402
281,3423353538.163979,2087983226.602514
282,2706052488.320246,2344342476.954531
283,2618123091.9588423,2367565288.4656587
284,2080199976.504249,2573257524.5695987
285,1992317284.2098014,2613943864.9327974
286,1257685022.4870949,7886892.325058448
287,1079971896.0123236,7885943.799604436
288,1035971992.025262,15701088.083761591
289,1040205642.9218732,28417941.523973204
290,1043041990.1907703,52842691.10407433
291,1041637463.3323117,51591338.901972376
292,1087073242.3436012,85938456.85694386
293,1263375964.2928944,75976625.35045022
294,1546142039.8123565,3501422343.3388996
295,1868088408.7543235,3592003288.549278
296,3777670912.2970185,2335944987.536285
297,3644960910.221974,1925856193.8921475
298,3468879586.1357155,1839759768.3326666
299,3472196452.246199,1629770479.5137143
300,3292386472.4475207,1703556513.7956247
301,3468349290.263835,1555221682.2613978
302,3468144329.172402,1418763092.0569153
303,3468315634.500212,1538132780.9969454
304,3736781939.855917,1680614151.9552114
305,3423239012.986199,1989665720.0713189
306,2706096591.758154,2347540986.882492
307,2618265031.1805716,2431338842.226339
308,2080434043.0400548,2703791323.234335
309,1992564587.422014,2756859115.071486
310,1257685032.3874624,7886812.385760777
311,1079971903.8971717,15700717.451669587
312,856545373.4341059,7886981.280364283
313,863602159.1864747,42394168.389464855
314,862202652.4353744,44598401.7444872
315,863642623.9185382,81206442.53649443
316,906233771.306741,68822262.82358122
317,995694820.5608268,116867644.74684852
318,1546034052.247936,3447515370.7142663
319,1510395433.2726822,4205236365.49414
320,2344408047.5113635,3478843371.459682
321,2211816461.881223,3227966820.7273407
322,2035410140.6768143,3032413448.375936
323,2035127170.5559838,2904235880.153776
324,2034825001.8696847,2723212573.506541
325,2034394676.2489784,2394856258.651544
326,1137750480.6507986,2761605411.02228
327,1138031238.939594,2938912435.0448675
328,1407156976.2237527,3478157157.847314
329,1363512200.0554452,4072030902.959707
330,1252548221.5255837,15714748.124426665
331,1165958173.9506295,13116791.42499629
332,1171606702.082404,48423768.52797117
333,1082223341.4984217,58978835.361066654
334,995648038.9621317,72873286.99420851
335,906269352.6621816,97293107.28949602
336,863690171.1885667,104356982.67036693
337,932670904.7393484,412752840.58671886
338,920088979.4142292,454065489.750291
339,932874831.8126965,621267494.8509542
