VariableName,Electricity:Facility,Gas:Facility
KeyValue,,
177,900545257.6246331,15700083.210608669
178,856543533.2414038,7883009.131086016
179,856543532.6964514,7882156.561541696
180,862176900.1564783,27962290.695955213
181,863591206.3972505,37802935.81181118
182,906191777.8431642,39933500.62246646
183,995615185.8354605,61083967.219036
184,1170209502.8062701,55195972.39035985
185,1136583130.09438,56598817.628805324
186,1073639275.2863572,34686753.57881123
187,943040402.7729788,34287476.93962151
188,765634360.2698495,30541070.702706516
189,767043593.4132684,34025786.86103239
190,837127650.2433151,37638083.558852024
191,825721470.7947392,38062648.1952681
192,804815279.4323437,22455789.581417248
193,767030182.1874986,26488003.938529
194,1033904788.2017455,30707080.53471112
195,1259595313.4324598,45732447.04345258
196,1258195207.4579442,54944317.615757264
197,1171610975.2192252,59209707.70680985
198,1170218073.36813,66532794.473020166
199,1083656910.2594097,93102026.19052514
200,994284064.6509213,119905113.5245761
201,907726965.7041267,150302442.65384173
202,1041783262.8476144,175241230.38288322
203,1176009852.3430274,301958342.45458
204,1245844294.239891,438672622.73368055
205,1187540095.602546,571523965.4903255
206,1142326001.6364694,602699647.9306366
207,1335590643.9938,711779895.6601672
208,1553597951.1273572,5415925807.561754
209,1874264935.8735216,5963277917.680663
210,3781319292.8452983,4064658784.6451826
211,3648218399.139862,3621754519.103008
212,3471685727.635046,3352250367.231328
213,3471312538.7967596,3122373667.641759
214,3291886087.839021,3142061526.51272
215,3470914943.221513,2920133997.719453
216,3470608622.4362645,2749046900.608363
217,3470610618.213936,2756911160.2251287
218,3739172018.9985538,2973153935.7874494
219,3425568917.7376604,3219240789.7041945
220,2708463183.191821,3532512075.8814673
221,2620584033.777517,3565397882.6736393
222,2082750344.6361716,3797402325.6028705
223,1995114947.450716,3970236512.9434247
224,1257685018.2824187,15699140.896632917
225,1084210624.9821484,28759847.881528
226,1041656112.9666117,56755812.89274671
227,1043094162.8688133,81119114.71483374
228,1041755332.6782539,128709216.56949808
229,1043198854.5307858,143105450.57106292
230,1128039202.01845,309931396.66121733
231,1335389571.9326026,538456377.4987015
232,1550677505.3939526,4838987428.42891
233,1873524755.9249046,5857757392.888734
234,3781250546.982065,3963142259.6573424
235,3648058449.015191,3383160016.3279204
236,3471652239.4557056,3185736765.426745
237,3474431616.2048273,2865755263.5661707
238,3297748054.9199305,2703829432.812092
239,3478177034.6523094,2300562838.671948
240,3474592785.3451834,1918915379.6555424
241,3469646025.113705,1882673187.714755
242,3737495600.8768816,2054479173.8975291
243,3423946009.2080774,2339921296.6110754
244,2706936182.5329123,2756207710.3089
245,2619288901.30428,2952949630.4323106
246,2081711477.6835473,3325581246.9426403
247,1994037609.5945425,3458559448.5078664
248,1257685015.9144459,7886753.542846892
249,1079971889.7832987,7886424.9736183025
250,1040207765.6307193,35474007.17212791
251,1043052205.0102873,54821931.090794206
252,1041649676.4502923,55114106.352835216
253,1043111063.1427096,103379079.84316124
254,1085693068.2259195,84762029.68268496
255,1264906942.4998348,152376993.28112945
256,1546863809.8815603,3663893898.247681
257,1870367417.7490547,4679626804.662972
258,3779769963.0046606,3438030712.5408287
259,3646586870.956389,2873190758.2772465
260,3469649596.7501183,2341479782.3295436
261,3469069735.421501,1991314331.1866467
262,3289637050.8866334,1986464430.3151374
263,3470686059.547824,1649845024.0501974
264,3470703303.892941,1354948368.5131657
265,3468259019.2134733,1316619358.437293
266,3736551494.327516,1513496370.8653064
267,3422853708.2610383,1720566794.5894873
268,2705555270.8429728,2013266475.5800483
269,2617678592.410557,2091763232.3012555
270,2079785729.0900226,2337881983.1796885
271,1991925171.8270526,2403485996.652893
272,1257685017.873888,7886540.94348638
273,1079971890.7576768,7886916.377222888
274,1035971987.3781538,15700339.084130729
275,1035971982.3271335,7886755.40406368
276,1043020389.4291937,37535343.90886258
277,1041617702.0829185,37201410.01453384
278,1087043530.6248608,63935764.471084185
279,1263354619.647827,60172319.962098315
280,1544756759.1417918,3105979649.9628015
281,1867192907.7453713,3211949853.954687
282,3777425394.798949,2227665589.122741
283,3645205816.5673904,2160722651.876433
284,3469042601.09033,2059340735.7939763
285,3468910719.3010154,1975472071.9860961
286,3289671202.102349,2120812004.2479615
287,3468848568.5736403,1937908389.6350534
288,3468871359.109899,1942188631.6726074
289,3468903140.160523,1951142329.2531562
290,3737179557.01604,1969092199.0310402
291,3423353538.163979,2087983226.6025143
292,2706052488.320246,2344342476.954531
293,2618123091.9588423,2367565288.465659
294,2080199976.5042489,2573257524.5695987
295,1992317284.2098012,2613943864.9327974
296,1257685022.4870949,7886892.325058327
297,1079971896.0123236,7885943.799604478
298,1035971992.025262,15701088.0837618
299,1040205642.9218735,28417941.523973174
300,1043041990.1907705,52842691.10407404
301,1041637463.3323117,51591338.90197265
302,1087073242.3436015,85938456.85694389
303,1263375964.2928944,75976625.35045038
304,1546142039.8123562,3501422343.3388996
305,1868088408.7543237,3592003288.549278
