VariableName,Electricity:Facility,Gas:Facility
KeyValue,,
75,3422306919.962545,1389096917.5921211
76,2705050611.23124,1699193664.1247194
77,2617228487.530052,1794522923.0877037
78,2079430924.7410889,2112847423.7336614
79,1991724768.83039,2305248710.023579
80,1257684980.8011148,7886418.137766363
81,1079971853.96733,15700322.100575926
82,1035971943.0810931,7885969.931873245
83,1035971938.7952815,7886271.25938748
84,1035971942.1890718,7886569.469904194
85,1040204514.8258617,36411446.49621158
86,1087035395.22181,49953718.781996764
87,1263346166.9034762,53721175.58815812
88,1545581251.3576887,3550020778.245354
89,1868016904.006909,3707805693.289989
90,3777772772.512287,2429529106.5881624
91,3644981051.3943315,1993853450.4764626
92,3468160209.685577,1451887094.2577326
93,3467662778.883811,1098300040.6366475
94,3288245463.3475266,1121119348.5220838
95,3467380672.475029,887058435.6182063
96,3467261870.2246494,795873124.9529129
97,3467251384.433413,786330901.3290337
98,3766361319.513501,864413815.0096706
99,3421798916.4118776,1019008928.9356247
100,2704452544.0370946,1279440870.7065876
101,2616589584.1109123,1347762408.7438874
102,2078788397.3655162,1685604288.8741112
103,1991114165.4645605,1900293509.5684838
104,1257684992.2566032,15700560.772865456
105,1079971854.2715585,7886308.455569636
106,1035971944.9597231,7886638.900287343
107,1035971948.6993867,7885634.7631739685
108,1035971952.4009845,15700198.42661949
109,1038794723.001607,22792794.803701293
110,1085621868.2197187,41457564.58525576
111,1264769127.7070181,70944581.47310564
112,1545180938.541238,3338510349.0171733
113,1867382207.0725622,3339658479.9507732
114,3776994855.3671904,1931363127.536839
115,3643987466.1408386,1276908754.218454
116,3471259766.053759,945814886.6326218
117,3480374071.5433125,792687051.7762868
118,3304827304.868139,839852114.9201031
119,3483037049.5282073,596688093.2119015
120,3476937129.2800193,375259612.39440364
121,3468518085.4058313,395258189.7219557
122,3765969093.654979,547533891.0433335
123,3421413099.5465746,717055784.6365316
124,2703980669.3273273,906184467.0874157
125,2616081206.962875,966686667.0908854
126,2078135074.7119944,1213185382.6580124
127,1990254251.108213,1286873063.7000751
128,1257684989.3347027,7885549.397305207
129,1079971861.5109558,7885856.324521981
130,1035971957.9993829,15700695.621129986
131,1035971951.9849983,7885519.942815159
132,1035971949.6436032,7885838.8864206225
133,1035971956.3915293,7886160.140381501
134,1081381703.0667772,22175743.91470061
135,1264738915.110204,47828709.00776396
136,1543445068.117412,2669923166.445371
137,1865443542.0820277,2194703690.814037
138,3775775092.310899,1088546039.765422
139,3643389677.4830017,840592416.84583
140,3467419394.0041614,845419697.2204258
141,3467349646.6913548,847561603.665702
142,3288060634.004264,960652304.2389781
143,3467322337.6966205,822913338.3916403
144,3467217905.6868167,742430014.740011
145,3467185679.492865,718349017.952663
146,3766368254.1471562,856193333.6321859
147,3421897613.7796383,1078927693.1327984
148,2704563670.244418,1344856670.8256433
149,2616622116.872271,1366207065.3703387
150,2078631069.1835349,1556744743.0932708
151,1990702299.0739934,1579985327.4829535
152,1257684999.382125,7886788.496183835
153,1079971862.1380353,7885785.516440251
154,856545343.9602286,7886127.168663341
155,856545346.1270126,15701271.864723222
156,856545337.3285975,7885811.527027681
157,856545338.38841,7886143.732579643
158,903365647.0915027,20952584.47833184
159,994192284.1719902,42887038.4440145
160,1543423526.3292487,2681507133.0771427
161,1506493709.0312858,2101897650.3608847
162,2340561193.9774375,1189808000.1938787
163,2208239540.5297437,1001061431.3559808
164,2035508849.1320155,1062068307.0685174
165,2043307775.572054,1024293184.6129941
166,2047929201.218134,990071721.358528
167,2047644965.9747217,893542184.7039641
168,1143878868.052222,895661894.5931844
169,1136918047.6406775,893623619.6156904
170,1477436793.219696,1232770987.409465
171,1433371995.5083215,1754989074.1021914
172,1252548175.0423079,7893096.231152465
173,1164548349.5630748,15715147.72679676
174,1164548356.8142962,15715226.078855041
175,1076552153.7919924,15728848.428783141
176,988545078.2628508,7885546.212498473
177,900545257.624633,15700083.210608698
178,856543533.2414039,7883009.131085749
